Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub Category,Product Name,Sales,Quantity,Discount,Profit,Contact,Date1,Date2,Date3,Date4,Date9,Date10,Date11,Date12,Date17,Date19,Date20,Date21
11,cA-2014-115812,09-06-2014,14-06-2014,standarD CLASS,bh-11710,bROsiNA hOfFMan,CoNsuMER,unITED sTAteS,loS anGELES,cAlifornia,90032,west,FUR-TA-10001539,FUrNItuRE,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,31-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
12,cA-2014-115812,09-06-2014,14-06-2014,standarD CLASS,bh-11710,bROsiNA hOfFMan,CoNsuMER,unITED sTAteS,loS anGELES,cAlifornia,90032,west,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - CharCoal black,911.424,4,0.2,68.3568,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,01-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
13,cA-2017-114412,15-04-2017,20-04-2017,standarD CLASS,aA-10480,AndRew Allen,CoNsuMER,unITED sTAteS,Concord,North cArolina,28027,SOUTH,OFF-PA-10002365,OffICE SUpplIES,Paper,Xerox 1967,15.552,3,0.2,5.4432,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,02-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
14,cA-2016-161389,05-12-2016,10-12-2016,standarD CLASS,im-15070,Irene Maddox,CoNsuMER,unITED sTAteS,Seattle,WasHington,98103,west,OFF-BI-10003656,OffICE SUpplIES,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,03-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
15,us-2015-118983,22-11-2015,26-11-2015,standarD CLASS,Hp-14815,HARold paWLaN,home OFFICE,unITED sTAteS,Fort Worth,Texas,76106,cENtrAL,OFF-AP-10002311,OffICE SUpplIES,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,04-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
16,us-2015-118983,22-11-2015,26-11-2015,standarD CLASS,Hp-14815,HARold paWLaN,home OFFICE,unITED sTAteS,Fort Worth,Texas,76106,cENtrAL,OFF-BI-10000756,OffICE SUpplIES,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,04-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
17,cA-2014-105893,11-11-2014,18-11-2014,standarD CLASS,PK-19075,Pete Kriz,CoNsuMER,unITED sTAteS,Madison,WiSconsin,53711,cENtrAL,OFF-ST-10004186,OffICE SUpplIES,StorAge,"Stur-D-Stor sHelving, VerticAl 5-sHelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,04-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
18,cA-2014-167164,13-05-2014,15-05-2014,sEconD cLaSS,Ag-10270,AlejandRo Grove,CoNsuMER,unITED sTAteS,west Jordan,Utah,84084,west,OFF-ST-10000107,OffICE SUpplIES,StorAge,Fellowes Super Stor/dRawer,55.5,2,0,9.99,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,04-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
19,cA-2014-143336,27-08-2014,01-09-2014,sEconD cLaSS,zd-21925,zusCHUSs doNAteLLi,CoNsuMER,unITED sTAteS,SAN FranCISCO,cAlifornia,94109,west,OFF-AR-10003056,OffICE SUpplIES,Art,Newell 341,8.56,2,0,2.4824,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,04-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
20,cA-2014-143336,27-08-2014,01-09-2014,sEconD cLaSS,zd-21925,zusCHUSs doNAteLLi,CoNsuMER,unITED sTAteS,SAN FranCISCO,cAlifornia,94109,west,TEC-PH-10001949,Technology,Phones,CiSco SPA 501G IP Phone,213.48,3,0.2,16.011,7896541256,13-07-2000,13-07-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,21-Aug-23,Aug-15-2023,14-Aug-23,21-Aug-23
21,cA-2014-143336,27-08-2014,01-09-2014,sEconD cLaSS,zd-21925,zusCHUSs doNAteLLi,CoNsuMER,unITED sTAteS,SAN FranCISCO,cAlifornia,94109,west,OFF-BI-10002215,OffICE SUpplIES,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,7896541256,03-10-2000,03-10-2000,10-03-2000,02-07-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,22-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
22,cA-2016-137330,09-12-2016,13-12-2016,standarD CLASS,KB-16585,Ken Black,coRpoRAte,unITED sTAteS,Fremont,NeBraska,68025,cENtrAL,OFF-AR-10000246,OffICE SUpplIES,Art,Newell 318,19.46,7,0,5.0596,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,23-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
23,cA-2016-137330,09-12-2016,13-12-2016,standarD CLASS,KB-16585,Ken Black,coRpoRAte,unITED sTAteS,Fremont,NeBraska,68025,cENtrAL,OFF-AP-10001492,OffICE SUpplIES,Appliances,"ACco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,24-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
24,us-2017-156909,16-07-2017,18-07-2017,sEconD cLaSS,Sf-20065,SandRa FlanAgan,CoNsuMER,unITED sTAteS,PHILADELPHIA,Pennsylvania,19140,East,FUR-CH-10002774,FUrNItuRE,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,25-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
25,cA-2015-106320,25-09-2015,30-09-2015,standarD CLASS,eB-13870,Emily Burns,CoNsuMER,unITED sTAteS,Orem,Utah,84057,west,FUR-TA-10000577,FUrNItuRE,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,26-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
26,cA-2016-121755,16-01-2016,20-01-2016,sEconD cLaSS,eh-13945,ERIC hoffMANN,CoNsuMER,unITED sTAteS,loS anGELES,cAlifornia,90049,west,OFF-BI-10001634,OffICE SUpplIES,Binders,Wilson Jones Active use Binders,11.648,2,0.2,4.2224,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,27-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
27,cA-2016-121755,16-01-2016,20-01-2016,sEconD cLaSS,eh-13945,ERIC hoffMANN,CoNsuMER,unITED sTAteS,loS anGELES,cAlifornia,90049,west,TEC-AC-10003027,Technology,ACcessories,imation 8GB Mini TraveldRive usB 2.0 FlasH dRive,90.57,3,0,11.7741,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,28-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
28,us-2015-150630,17-09-2015,21-09-2015,standarD CLASS,Tb-21520,traCY bLuMSteIN,CoNsuMER,unITED sTAteS,PHILADELPHIA,Pennsylvania,19140,East,FUR-BO-10004834,FUrNItuRE,BookcAses,"Riverside Palais Royal Lawyers BookcAse, Royale Cherry FinisH",3083.43,7,0.5,-1665.0522,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,29-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
29,us-2015-150630,17-09-2015,21-09-2015,standarD CLASS,Tb-21520,traCY bLuMSteIN,CoNsuMER,unITED sTAteS,PHILADELPHIA,Pennsylvania,19140,East,OFF-BI-10000474,OffICE SUpplIES,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,30-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
30,us-2015-150630,17-09-2015,21-09-2015,standarD CLASS,Tb-21520,traCY bLuMSteIN,CoNsuMER,unITED sTAteS,PHILADELPHIA,Pennsylvania,19140,East,FUR-FU-10004848,FUrNItuRE,FurnisHings,"Howard Miller 13-3/4"" Diameter BrusHed Chrome Round Wall Clock",124.2,3,0.2,15.525,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,31-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
31,us-2015-150630,17-09-2015,21-09-2015,standarD CLASS,Tb-21520,traCY bLuMSteIN,CoNsuMER,unITED sTAteS,PHILADELPHIA,Pennsylvania,19140,East,OFF-EN-10001509,OffICE SUpplIES,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,01-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
32,us-2015-150630,17-09-2015,21-09-2015,standarD CLASS,Tb-21520,traCY bLuMSteIN,CoNsuMER,unITED sTAteS,PHILADELPHIA,Pennsylvania,19140,East,OFF-AR-10004042,OffICE SUpplIES,Art,"BOSTon Model 1800 Electric Pencil sHarpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,02-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
33,us-2015-150630,17-09-2015,21-09-2015,standarD CLASS,Tb-21520,traCY bLuMSteIN,CoNsuMER,unITED sTAteS,PHILADELPHIA,Pennsylvania,19140,East,OFF-BI-10001525,OffICE SUpplIES,Binders,"ACco Pressboard Covers with StorAge Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,03-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
34,us-2015-150630,17-09-2015,21-09-2015,standarD CLASS,Tb-21520,traCY bLuMSteIN,CoNsuMER,unITED sTAteS,PHILADELPHIA,Pennsylvania,19140,East,OFF-AR-10001683,OffICE SUpplIES,Art,Lumber Crayons,15.76,2,0.2,3.546,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,04-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
35,cA-2017-107727,19-10-2017,23-10-2017,sEconD cLaSS,MA-17560,Matt Abelman,home OFFICE,unITED sTAteS,houston,Texas,77095,cENtrAL,OFF-PA-10000249,OffICE SUpplIES,Paper,Easy-staple paper,29.472,3,0.2,9.9468,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,04-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
36,cA-2016-117590,08-12-2016,10-12-2016,FIRST cLaSs,gh-14485,Gene Hale,coRpoRAte,unITED sTAteS,Richardson,Texas,75080,cENtrAL,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,04-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
37,cA-2016-117590,08-12-2016,10-12-2016,FIRST cLaSs,gh-14485,Gene Hale,coRpoRAte,unITED sTAteS,Richardson,Texas,75080,cENtrAL,FUR-FU-10003664,FUrNItuRE,FurnisHings,"Electrix ArChitect's Clamp-on Swing Arm Lamp, Black",190.92,5,0.6,-147.963,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,04-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
38,cA-2015-117415,27-12-2015,31-12-2015,standarD CLASS,Sn-20710,STEVE nguyen,home OFFICE,unITED sTAteS,houston,Texas,77041,cENtrAL,OFF-EN-10002986,OffICE SUpplIES,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium DiAgonal Seam Envelopes",113.328,9,0.2,35.415,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,04-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
39,cA-2015-117415,27-12-2015,31-12-2015,standarD CLASS,Sn-20710,STEVE nguyen,home OFFICE,unITED sTAteS,houston,Texas,77041,cENtrAL,FUR-BO-10002545,FUrNItuRE,BookcAses,"Atlantic Metals Mobile 3-sHelf BookcAses, Custom Colors",532.3992,3,0.32,-46.9764,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,28-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
40,cA-2015-117415,27-12-2015,31-12-2015,standarD CLASS,Sn-20710,STEVE nguyen,home OFFICE,unITED sTAteS,houston,Texas,77041,cENtrAL,FUR-CH-10004218,FUrNItuRE,Chairs,"Global Fabric ManAger's Chair, Dark Gray",212.058,3,0.3,-15.147,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,29-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
41,cA-2015-117415,27-12-2015,31-12-2015,standarD CLASS,Sn-20710,STEVE nguyen,home OFFICE,unITED sTAteS,houston,Texas,77041,cENtrAL,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,30-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
42,cA-2017-120999,10-09-2017,15-09-2017,standarD CLASS,lC-16930,Linda cAzamias,coRpoRAte,unITED sTAteS,Naperville,Illinois,60540,cENtrAL,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,31-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
43,cA-2016-101343,17-07-2016,22-07-2016,standarD CLASS,RA-19885,Ruben Ausman,coRpoRAte,unITED sTAteS,loS anGELES,cAlifornia,90049,west,OFF-ST-10003479,OffICE SUpplIES,StorAge,"Eldon Base for stackable storAge sHelf, platinum",77.88,2,0,3.894,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,01-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
44,cA-2017-139619,19-09-2017,23-09-2017,standarD CLASS,ES-14080,Erin Smith,coRpoRAte,unITED sTAteS,Melbourne,Florida,32935,SOUTH,OFF-ST-10003282,OffICE SUpplIES,StorAge,"ADvantus 10-dRawer Portable Organizer, Chrome Metal Frame, Smoke dRawers",95.616,2,0.2,9.5616,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,02-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
45,cA-2016-118255,11-03-2016,13-03-2016,FIRST cLaSs,on-18715,Odella Nelson,coRpoRAte,unITED sTAteS,EAgan,Minnesota,55122,cENtrAL,TEC-AC-10000171,Technology,ACcessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable DiSc, 25/Pack",45.98,2,0,19.7714,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,03-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
46,cA-2016-118255,11-03-2016,13-03-2016,FIRST cLaSs,on-18715,Odella Nelson,coRpoRAte,unITED sTAteS,EAgan,Minnesota,55122,cENtrAL,OFF-BI-10003291,OffICE SUpplIES,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,04-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
47,cA-2014-146703,20-10-2014,25-10-2014,sEconD cLaSS,PO-18865,Patrick O'Donnell,CoNsuMER,unITED sTAteS,westland,Michigan,48185,cENtrAL,OFF-ST-10001713,OffICE SUpplIES,StorAge,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,04-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
48,cA-2016-169194,20-06-2016,25-06-2016,standarD CLASS,LH-16900,Lena Hernandez,CoNsuMER,unITED sTAteS,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,ACcessories,imation 8gb Micro TraveldRive usb 2.0 FlasH dRive,45,3,0,4.95,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,04-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
49,cA-2016-169194,20-06-2016,25-06-2016,standarD CLASS,LH-16900,Lena Hernandez,CoNsuMER,unITED sTAteS,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard cAse Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,04-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
50,cA-2015-115742,18-04-2015,22-04-2015,standarD CLASS,DP-13000,darren POWERS,CoNsuMER,unITED sTAteS,New Albany,Indiana,47150,cENtrAL,OFF-BI-10004410,OffICE SUpplIES,Binders,"C-Line Peel & Stick Add-on Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,04-Sep-23,Aug-2-2023,14-Aug-23,03-Aug-23
51,cA-2015-115742,18-04-2015,22-04-2015,standarD CLASS,DP-13000,darren POWERS,CoNsuMER,unITED sTAteS,New Albany,Indiana,47150,cENtrAL,OFF-LA-10002762,OffICE SUpplIES,Labels,Avery 485,75.18,6,0,35.3346,7896541256,13-07-2000,13-07-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,21-Aug-23,Aug-15-2023,14-Aug-23,21-Aug-23
52,cA-2015-115742,18-04-2015,22-04-2015,standarD CLASS,DP-13000,darren POWERS,CoNsuMER,unITED sTAteS,New Albany,Indiana,47150,cENtrAL,FUR-FU-10001706,FUrNItuRE,FurnisHings,Longer-Life Soft White Bulbs,6.16,2,0,2.9568,7896541256,03-10-2000,03-10-2000,10-03-2000,02-07-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,22-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
53,cA-2015-115742,18-04-2015,22-04-2015,standarD CLASS,DP-13000,darren POWERS,CoNsuMER,unITED sTAteS,New Albany,Indiana,47150,cENtrAL,FUR-CH-10003061,FUrNItuRE,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.0981,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,23-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
54,cA-2016-105816,11-12-2016,17-12-2016,standarD CLASS,jm-15265,jaNET moLINAri,coRpoRAte,unITED sTAteS,NEW york CITY,New York,10024,East,OFF-FA-10000304,OffICE SUpplIES,Fasteners,ADvantus PusH Pins,15.26,7,0,6.2566,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,24-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
55,cA-2016-105816,11-12-2016,17-12-2016,standarD CLASS,jm-15265,jaNET moLINAri,coRpoRAte,unITED sTAteS,NEW york CITY,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,25-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
56,cA-2016-111682,17-06-2016,18-06-2016,FIRST cLaSs,Tb-21055,ted BUTTERfield,CoNsuMER,unITED sTAteS,TROY,New York,12180,East,OFF-ST-10000604,OffICE SUpplIES,StorAge,Home/Office Personal File cArts,208.56,6,0,52.14,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,26-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
