STOREEXCEL/ StoreID,StoreName,YearOpened,Supplier/Party,Client/Customer,CustomerMobileNumber,BillDate,BillNo / Invoice,Category(CAT-1),SubCategory(CAT-2),ProductName,Color,BrandName,EmpID,EmployeeName,Designation,Target,Channel,City,State,Country,Region,TaxAmt,DiscountAmount,Quantity,MRP/UnitPrice,TotalProductCost,SalesAmount,BucketRange,UnitsIn,QtyOnHand
717,Log Cabin Keepsakes,12/15/2019,Nod Publishers,Powell Duggleby,9372797965,18/4/2019,3568175,Kitchen Items,Mugs,Dev - RedMug_M,Red,Kitchen cmpny,171,Carol,Production Technician - WC60,6633,Call-Center,Columbus,Florida,USA,Americas,2030,503,10,400,5204,6030,0-10000,273,263
720,Hopscotch Toy Shop,12/14/2019,Consolidated Messenger,Burtie Crisford,9008206457,18/4/2019,2266881,Clothing,Hoodies,Hoodie S,White,Adidas,128,Barbara,Application Specialist,19345.7,Call-Center,Birmingham,Alabama,USA,Americas,854,1058,29,577,1352,17587,10000-20000,266,237
720,Hopscotch Toy Shop,12/14/2019,Trey Research,Abramo Tottman,8018202104,18/4/2019,2827436,Clothing,Tshirts,Blue Tshirt 3XXL,Multi,U.S Polo.Assn,170,Dragan,Production Technician - WC50,11432.3,Web,Birmingham,Florida,USA,Americas,1433,82,16,560,13819,10393,10000-20000,324,308
718,To You From Me,12/14/2019,Consolidated Messenger,Fransisco Oager,9119663141,19/4/2019,2817102,Footwear,Slippers,Green Slippers M,Multi,Adidas,125,Bryan,Accounts Receivable Specialist,6889.5,Email,Duluth,Florida,USA,Americas,2111,626,24,231,9088,7655,0-10000,393,369
707,Gifts Galore,1/17/2020,Humongous Insurance,Kaylyn Emlen,9351966323,20/4/2019,2406037,Novelty items,Silly Putty,Putty,Black,Novelty items&co,126,Jeff,Tool Designer,28598.4,Call-Center,Miami,Florida,USA,Americas,2419,436,31,947,78,31776,30000-40000,156,125
721,A Bow On Top Gift Shop,12/14/2019,A Datum Corporation,Christiane Geale,8949836804,20/4/2019,3449409,Food,Cheese,Low Fat Cheese,Silver,American Cheese & Butter,127,Eugene,Senior Design Engineer,14819.4,Email,Gainesville,Florida,USA,Americas,73,1071,13,1261,13470,16466,10000-20000,354,341
720,Hopscotch Toy Shop,12/14/2019,Consolidated Messenger,Florentia End,8247248218,21/4/2019,3378898,Footwear,Crocs,Crocs Black,Multi,Crocs,141,Brian,Production Technician - WC380,22129.8,Chatbot,Birmingham,Alabama,USA,Americas,1053,545,31,615,82,20118,20000-30000,292,261
720,Hopscotch Toy Shop,12/14/2019,Nod Publishers,Tulley Paff,8883762911,21/4/2019,1685969,Clothing,Tshirts,Red Tshirt M,Black,Roadster,138,Cynthia,Production Technician - WC60,17898.1,Chatbot,Birmingham,Georgia,USA,Americas,2087,647,12,1182,13457,16271,10000-20000,216,204
720,Hopscotch Toy Shop,12/14/2019,Consolidated Messenger,Rubie Bleibaum,8659695878,21/4/2019,3442171,School Supplies,Drawing Accessories,Paint Board,Multi,Class Mate,128,Barbara,Sales Representative,51932.1,Web,Birmingham,Alabama,USA,Americas,2115,122,24,1879,3693,47211,40000-50000,207,183
720,Hopscotch Toy Shop,12/14/2019,Trey Research,Justinn Sawer,8405015551,22/4/2019,2836474,Clothing,Tshirts,Red Tshirt XL,Black,Roadster,140,Britta,Production Technician - WC10,5880.6,Web,Birmingham,Georgia,USA,Americas,2656,407,10,269,9116,5346,0-10000,334,324
717,Log Cabin Keepsakes,12/15/2019,Northwind Electric Cars,Rhetta Goater,8705113023,23/4/2019,2857695,School Supplies,Drawing Accessories,Geometry Box,Blue,Class Mate,127,Eugene,Accountant,16140.3,Web,Columbus,Florida,USA,Americas,1518,890,15,877,13270,14673,10000-20000,324,309
712,Once Upon a Trinket,2/25/2020,A Datum Corporation,Willamina Chopping,9004574782,23/4/2019,3699739,Food,Cool Drinks,Thumps Up Charged,Black,Coca Cola,179,Suchitra,Sales Representative,5227.2,Email,Savannah,Alabama,USA,Americas,2102,618,2,1853,7307,5808,0-10000,314,312
720,Hopscotch Toy Shop,12/14/2019,A Datum Corporation,Keane Nudd,8963401045,24/4/2019,1968082,Food,Chips,Lays yellow,Yellow,Pepsico,169,Sameer,Production Technician - WC10,6288.7,Chatbot,Birmingham,Florida,USA,Americas,642,268,7,725,6958,5717,0-10000,204,197
716,The Warm House,12/15/2019,The Phone Company,Seamus Epperson,8791174466,24/4/2019,2802885,Food,Ghee,Shahi Ghee,Blue,Sunwest Foods,136,Michiko,Production Technician - WC50,34799.6,Web,Clearwater,Florida,USA,Americas,886,949,30,1025,7031,31636,30000-40000,309,279
707,Gifts Galore,1/17/2020,Graphic Design Institute,Becki Wickersley,8861554682,27/4/2019,3674659,Food,Milk,Packaged Milk,Blue,Heritage,138,Cynthia,Production Technician - WC350,46456.2,Web,Miami,Florida,USA,Americas,1216,734,29,1738,12617,51618,50000-60000,206,177
718,To You From Me,12/14/2019,"Litware, Inc.",Daryl Lighten,8788174851,27/4/2019,2885110,Clothing,Tshirts,Blue Tshirt 3XXL,Black,U.S Polo.Assn,178,Steve,Production Technician - WC20,13644.9,Call-Center,Duluth,Florida,USA,Americas,1171,882,10,1399,10912,15161,10000-20000,303,293
721,A Bow On Top Gift Shop,12/14/2019,"Fabrikam, Inc.",Annelise Hauxley,8509935724,27/4/2019,2575218,Footwear,Crocs,Crocs Black,Multi,Crocs,167,Mandar,Buyer,26040.6,Chatbot,Gainesville,Alabama,USA,Americas,1717,594,17,1601,10841,28934,20000-30000,391,374
720,Hopscotch Toy Shop,12/14/2019,A Datum Corporation,Colver Canty,8477984140,28/4/2019,3755037,Novelty items,Propeller beanie,Propeller beanie,Black,Novelty items&co,158,Hao,Production Technician - WC13,866.8,Email,Birmingham,Florida,USA,Americas,95,208,21,33,9849,788,0-10000,286,265
718,To You From Me,12/14/2019,Woodgrove Bank,Ede Malenfant,8488556669,28/4/2019,2389430,Furniture,Cupboards,Cupboards,Black,Furnitures.Co,127,Eugene,Marketing Assistant,45126,Web,Duluth,Mississippi,USA,Americas,1396,844,36,1354,9640,50140,50000-60000,207,171
717,Log Cabin Keepsakes,12/15/2019,Humongous Insurance,Ailis Mutton,8127811710,29/4/2019,3331177,Kitchen Items,Mugs,IT - GreenMug,Yellow,Kitchen cmpny,151,Linda,Sales Representative,7108.2,Call-Center,Columbus,Georgia,USA,Americas,1870,896,28,164,5598,6462,0-10000,224,196
717,Log Cabin Keepsakes,12/15/2019,Graphic Design Institute,Lewiss Guillard,8576491988,30/4/2019,2832959,Food,Cool Drinks,Coca Cola,Multi,Coca Cola,162,Dylan,Research and Development Manager,34592.8,Chatbot,Columbus,Alabama,USA,Americas,848,293,17,1800,7006,31448,30000-40000,347,330
720,Hopscotch Toy Shop,12/14/2019,Lucerne Publishing,Elli Mackleden,8428041587,1/5/2019,726144,Clothing,Tshirts,Orange Tshirt XL,Red,Lewis,150,Reed,Purchasing Assistant,29241.3,Call-Center,Birmingham,Georgia,USA,Americas,2834,176,17,1397,10880,26583,20000-30000,206,189
721,A Bow On Top Gift Shop,12/14/2019,Humongous Insurance,Crosby Perrot,8324100219,1/5/2019,3714439,Food,Chips,Lays Dark Green,Black,Pepsico,137,Benjamin,Buyer,12760.2,Email,Gainesville,Alabama,USA,Americas,1186,1020,32,406,13457,14178,10000-20000,205,173
719,The Treasure Box,12/14/2019,Lucerne Publishing,Fiona Lates,8632813629,1/5/2019,3385928,Clothing,Tshirts,White Tshirt XXL,Blue,Lee,165,Karen,North American Sales Manager,3688.3,Web,Augusta,Florida,USA,Americas,809,967,6,424,651,3353,0-10000,286,280
718,To You From Me,12/14/2019,Lucerne Publishing,Dacie Janowicz,9190172304,1/5/2019,3402039,Clothing,Jackets,White Jacket XL,Red,Denim,141,Brian,Sales Representative,3946.5,Chatbot,Duluth,Alabama,USA,Americas,311,1008,3,1358,5719,4385,0-10000,294,291
718,To You From Me,12/14/2019,Humongous Insurance,Carrie Edess,8522655533,3/5/2019,3762505,Kitchen Items,Mugs,IT -  BlackMug,Red,Kitchen cmpny,121,Diane,Sales Representative,8392.5,Chatbot,Duluth,Florida,USA,Americas,2521,1086,7,972,11739,9325,0-10000,290,283
716,The Warm House,12/15/2019,"Contoso, Ltd.",Odell Cathesyed,8538156792,4/5/2019,2358491,Novelty items,Useless machine,Rube Goldberg machine,Silver,Novelty items&co,135,Sairaj,Production Technician - WC10,7808.9,Call-Center,Clearwater,Alabama,USA,Americas,2139,1022,31,160,4889,7099,0-10000,148,117
717,Log Cabin Keepsakes,12/15/2019,The Phone Company,Myrna Whittlesea,9352007069,6/5/2019,3757757,Footwear,Slippers,Gray Slippers M,Black,Adidas,125,Bryan,Buyer,45021.9,Call-Center,Columbus,Florida,USA,Americas,2149,1039,28,1385,2626,40929,40000-50000,311,283
718,To You From Me,12/14/2019,The Phone Company,Osbourn Rosenshine,8056900273,7/5/2019,1075244,Clothing,Tshirts,Red Tshirt XXL,Black,Roadster,162,Dylan,Production Technician - WC10,32552.1,Web,Duluth,Alabama,USA,Americas,509,11,20,1783,6058,36169,30000-40000,204,184
718,To You From Me,12/14/2019,Trey Research,Durward Breddy,9347356775,8/5/2019,166630,Furniture,Table,Teapoy,Black,Furnitures.Co,158,Hao,Design Engineer,21296.7,Call-Center,Duluth,Florida,USA,Americas,822,186,13,1757,2709,23663,20000-30000,286,273
703,Heaven Sent Gift Delivery,12/16/2019,A Datum Corporation,Sandy Forseith,8110568795,9/5/2019,3595547,Footwear,Slippers,Gray Slippers S,Red,Adidas,158,Hao,Buyer,26361,Email,Jackson,Mississippi,USA,Americas,1917,993,31,883,4768,29290,20000-30000,366,335
721,A Bow On Top Gift Shop,12/14/2019,The Phone Company,Pammie Edser,8035542646,10/5/2019,3731939,Packaging materials,Ancillary Packaging,Printing Inks,Multi,Packers and Movers,158,Hao,Production Technician - WC20,17020.8,Web,Gainesville,Florida,USA,Americas,1692,754,21,820,13413,18912,10000-20000,336,315
717,Log Cabin Keepsakes,12/15/2019,"Contoso, Ltd.",Lorine Cressar,8500964621,10/5/2019,3550286,Kitchen Items,Dishwasher,Dishwasher,Black,Kitchen cmpny,125,Bryan,Marketing Assistant,16296.5,Chatbot,Columbus,Florida,USA,Americas,1711,506,7,1872,3457,14815,10000-20000,374,367
718,To You From Me,12/14/2019,"Litware, Inc.",Arv Revie,8878567237,11/5/2019,640048,Pesonal Care,Personal Hygiene,Sanatizer',Silver,johnson & johnson,167,Mandar,Sales Representative,5775.3,Call-Center,Duluth,Florida,USA,Americas,1647,612,3,1590,8899,6417,0-10000,342,339
720,Hopscotch Toy Shop,12/14/2019,Woodgrove Bank,Gaspard Mollon,8541399164,12/5/2019,901946,Clothing,Tshirts,WhiteTshirt S,Red,Lee,142,David,Production Technician - WC20,6694.6,Web,Birmingham,Florida,USA,Americas,1721,330,9,485,8236,6086,0-10000,358,349
717,Log Cabin Keepsakes,12/15/2019,The Phone Company,Umeko Fletcher,9121285860,14/5/2019,3582138,Food,Milk,Packaged Milk,Multi,Heritage,151,Linda,Janitor,24252.8,Email,Columbus,Florida,USA,Americas,1538,386,14,1465,11494,22048,20000-30000,393,379
721,A Bow On Top Gift Shop,12/14/2019,Trey Research,North Bolt,8226646881,14/5/2019,3538719,Packaging materials,Ancillary Packaging,Adhesives,Blue,Packers and Movers,157,Denise,Production Technician - WC40,10494,Chatbot,Gainesville,Georgia,USA,Americas,340,441,10,1132,10810,11660,10000-20000,276,266
717,Log Cabin Keepsakes,12/15/2019,The Phone Company,Levin Tittershill,9142032424,14/5/2019,2263363,Footwear,Shoes,Puma Shoes,Silver,Puma,172,Rob,Sales Representative,31872.5,Call-Center,Columbus,Florida,USA,Americas,265,921,30,957,7174,28975,20000-30000,359,329
720,Hopscotch Toy Shop,12/14/2019,Consolidated Messenger,Sue Coat,8811571125,14/5/2019,2693159,Packaging materials,Tertiary Packaging,Wooden Pallet,Black,Packers and Movers,142,David,Sales Representative,56043.9,Email,Birmingham,Florida,USA,Americas,2200,589,29,1681,10493,50949,50000-60000,221,192
719,The Treasure Box,12/14/2019,"Litware, Inc.",Shantee Watmore,9237255993,16/5/2019,3770955,Clothing,Tshirts,BlueThirt XXL,Red,U.S Polo.Assn,143,Laura,Production Technician - WC64,14604.7,Chatbot,Augusta,Florida,USA,Americas,2329,275,34,322,10792,13277,10000-20000,201,167
717,Log Cabin Keepsakes,12/15/2019,"Litware, Inc.",Willy Suttaby,8778606946,17/5/2019,3626992,Kitchen Items,Mugs,Dev - RedMug_L,Black,Kitchen cmpny,161,Brandon,Production Technician - WC10,8395.2,Email,Columbus,Florida,USA,Americas,2622,105,6,835,13182,7632,0-10000,201,195
719,The Treasure Box,12/14/2019,The Phone Company,Giles Tippings,9112112900,17/5/2019,2769181,School Supplies,Drawing Accessories,Pads,Multi,Class Mate,165,Karen,Production Technician - WC10,20383,Email,Augusta,Florida,USA,Americas,50,555,11,1680,2369,18530,10000-20000,343,332
720,Hopscotch Toy Shop,12/14/2019,Consolidated Messenger,Sherry Haquard,9147962976,17/5/2019,2401755,Clothing,Jeans,Lee Jeans,Red,Lee,132,Mark,Production Technician - WC10,2536.6,Chatbot,Birmingham,Florida,USA,Americas,645,368,1,1661,8537,2306,0-10000,284,283
718,To You From Me,12/14/2019,"Fabrikam, Inc.",Guglielma Nucator,9275810301,17/5/2019,2808775,Pesonal Care,Oral Care,Mouth Freshner,Silver,johnson & johnson,164,John,Purchasing Manager,40296.6,Email,Duluth,Florida,USA,Americas,158,622,33,1352,2008,44774,40000-50000,362,329
713,Sunset Gifts,3/3/2020,Trey Research,Dewey Lemmer,8228572086,18/5/2019,3761044,Food,Dry Fruits,Almonds,White,ITC,143,Laura,Production Technician - WC40,17141.3,Email,Macon,Georgia,USA,Americas,815,560,16,923,13245,15583,10000-20000,359,343
717,Log Cabin Keepsakes,12/15/2019,"Contoso, Ltd.",Dalia Spittal,8429106239,18/5/2019,3465640,Kitchen Items,Pan,Saucepans,Red,Kitchen cmpny,145,Michael,Buyer,55468.6,Email,Columbus,Florida,USA,Americas,1214,849,36,1367,12799,50426,50000-60000,207,171
717,Log Cabin Keepsakes,12/15/2019,Lucerne Publishing,Marrilee McArd,9090632554,18/5/2019,2803977,Food,Chocolate,Dairy Milk,Blue,Cadbury,151,Linda,Production Technician - WC20,31050.8,Email,Columbus,Florida,USA,Americas,1828,124,15,1760,10452,28228,20000-30000,250,235
720,Hopscotch Toy Shop,12/14/2019,Nod Publishers,Nariko Glowacz,8182287547,19/5/2019,2587567,Clothing,Tshirts,Orange Tshirt XXL,Red,Lewis,151,Linda,Senior Design Engineer,33979,Call-Center,Birmingham,Alabama,USA,Americas,1718,383,33,884,13718,30890,30000-40000,274,241
716,The Warm House,12/15/2019,"Litware, Inc.",Flynn Marchand,8810699342,20/5/2019,227570,Pesonal Care,Baby Care,Wet wipes,White,johnson & johnson,143,Laura,Quality Assurance Manager,4439.6,Call-Center,Clearwater,South Carolina,USA,Americas,1966,577,5,414,9995,4036,0-10000,331,326
721,A Bow On Top Gift Shop,12/14/2019,"Litware, Inc.",Emelita Roddy,8144723533,20/5/2019,2804612,Novelty items,Plastic flamingo,The Plaf,Multi,Novelty items&co,170,Dragan,Production Technician - WC60,2241.9,Email,Gainesville,Alabama,USA,Americas,660,726,1,1831,7267,2491,0-10000,214,213
711,Charming Treasures,2/20/2020,Woodgrove Bank,Carmelita Josey,8784123631,21/5/2019,3731525,Food,Cool Drinks,Maza Spl,Yellow,Coca Cola,178,Steve,European Sales Manager,34203.6,Chatbot,West Palm Beach,Alabama,USA,Americas,1024,145,20,1849,10220,38004,30000-40000,343,323
717,Log Cabin Keepsakes,12/15/2019,"Litware, Inc.",Etti Stanmer,8128667174,21/5/2019,1750127,Packaging materials,Secondary Packaging,EPS Trays,Blue,Packers and Movers,145,Michael,Production Supervisor - WC30,31154.2,Call-Center,Columbus,Florida,USA,Americas,2072,652,14,1875,4909,28322,20000-30000,374,360
718,To You From Me,12/14/2019,"Contoso, Ltd.",Carlen Vedekhov,8911229759,21/5/2019,3561354,Kitchen Items,Pan,Saucepans,White,Kitchen cmpny,130,Sean,Pacific Sales Manager,19708.2,Email,Duluth,Florida,USA,Americas,694,278,36,589,2565,21898,20000-30000,337,301
719,The Treasure Box,12/14/2019,A Datum Corporation,Ajay Boggish,8691440129,22/5/2019,2790178,Novelty items,Useless machine,Rube Goldberg machine,Black,Novelty items&co,143,Laura,Sales Representative,23916.2,Chatbot,Augusta,Georgia,USA,Americas,1480,798,33,614,1749,21742,20000-30000,295,262
716,The Warm House,12/15/2019,Trey Research,Kaylee Bulcock,8171249421,22/5/2019,3700244,Packaging materials,Secondary Packaging,Plastic Trays,Multi,Packers and Movers,163,Shane,Marketing Specialist,26437.4,Chatbot,Clearwater,Georgia,USA,Americas,1305,477,17,1337,13592,24034,20000-30000,380,363
721,A Bow On Top Gift Shop,12/14/2019,Nod Publishers,Nanni Doy,8972608180,22/5/2019,2826336,Novelty items,Chattering teeth,Yakity Yak Talking Teeth,Silver,Novelty items&co,142,David,StoreManager,25470.9,Email,Gainesville,Georgia,USA,Americas,656,352,15,1843,3424,28301,20000-30000,203,188
718,To You From Me,12/14/2019,Lucerne Publishing,Ogdon How to preserve,8020256508,23/5/2019,2878899,Clothing,Tshirts,Orange Tshirt XL,Multi,Lewis,171,Carol,Production Technician - WC71,44371.8,Email,Duluth,Florida,USA,Americas,2774,758,32,1454,2801,49302,40000-50000,363,331
721,A Bow On Top Gift Shop,12/14/2019,The Phone Company,Allayne Lednor,9047185239,24/5/2019,2390283,Clothing,Jeans,Lee Jeans,Multi,Lee,145,Michael,Production Technician - WC45,17967.6,Chatbot,Gainesville,Georgia,USA,Americas,2185,394,23,773,10449,19964,10000-20000,370,347
717,Log Cabin Keepsakes,12/15/2019,"Fabrikam, Inc.",Fairlie Throssell,8028572020,25/5/2019,3560874,Pesonal Care,Baby Care,Napkins,Black,johnson & johnson,140,Britta,Sales Representative,14710.3,Call-Center,Columbus,Georgia,USA,Americas,1498,346,19,625,11664,13373,10000-20000,317,298
713,Sunset Gifts,3/3/2020,"Contoso, Ltd.",Minny Giacubbo,8717317486,25/5/2019,3659316,Food,Cool Drinks,Limca spl,Black,Coca Cola,165,Karen,Sales Representative,34717.1,Email,Macon,Mississippi,USA,Americas,925,231,23,1332,4125,31561,30000-40000,351,328
717,Log Cabin Keepsakes,12/15/2019,Trey Research,Artemus Stanhope,8749609993,26/5/2019,1024016,Footwear,Shoes,Nike Shoes,Black,Nike,171,Carol,Sales Representative,56903,Call-Center,Columbus,Alabama,USA,Americas,2099,224,31,1601,6656,51730,50000-60000,379,348
717,Log Cabin Keepsakes,12/15/2019,"Fabrikam, Inc.",Gareth Tackett,8803560097,27/5/2019,3662445,Footwear,Slippers,Black Slippers M,Red,Adidas,130,Sean,Buyer,11540.1,Email,Columbus,South Carolina,USA,Americas,979,173,8,1189,11881,10491,10000-20000,281,273
